m,p_m,a_m,p_{a_m},status,elapsed_s
11924,127289,6119832581,151142662267,VERIFIED,0.000
18241,203227,2873665609,68701158689,VERIFIED,0.000
19234,215317,5206723528,127712739697,VERIFIED,0.000
20686,233173,2858183263,68314916771,VERIFIED,0.000
22186,251809,6418823416,158846687033,VERIFIED,0.000
22802,259577,44000698448,1177174198639,VERIFIED,0.000
23995,274453,47572503750,1276596209489,VERIFIED,0.000
33566,396239,4283714631,104199324451,VERIFIED,0.000
36303,431833,4006056395,97164894163,VERIFIED,0.000
36726,437083,2412333964,57230326859,VERIFIED,0.000
37253,443873,29834694588,786117161153,VERIFIED,0.000
37949,453181,23612836020,616425195857,VERIFIED,0.000
43297,523007,20932270152,543819574261,VERIFIED,0.000
48834,596419,23630637176,616908416777,VERIFIED,0.000
49889,610469,3941343324,95528205013,VERIFIED,0.000
51816,636277,11824762849,300167153191,VERIFIED,0.000
55468,685453,12790824118,325737648979,VERIFIED,0.000
55874,690953,7689816992,191750554309,VERIFIED,0.000
61007,760367,3353229683,80707333381,VERIFIED,0.000
67203,844253,7747012646,193236644017,VERIFIED,0.000
67273,845197,2766403488,66026785697,VERIFIED,0.000
67447,847621,8688185334,217752203707,VERIFIED,0.000
68744,865327,2423390090,57504240109,VERIFIED,0.000
69546,876191,17485936480,451005863261,VERIFIED,0.000
71049,896723,2298999145,54425781049,VERIFIED,0.000
72568,917759,4208046357,102280257463,VERIFIED,0.000
76761,975497,6814926932,169075281041,VERIFIED,0.000
81986,1047971,5364065784,131738811713,VERIFIED,0.000
82096,1049519,7393138089,184048943843,VERIFIED,0.000
84521,1083371,2282409344,54015791803,VERIFIED,0.000
86557,1111393,6670175973,165334596179,VERIFIED,0.000
90005,1159597,4615871244,112639311881,VERIFIED,0.000
90161,1161757,3788376009,91663964981,VERIFIED,0.000
92335,1191563,2223036115,52549379809,VERIFIED,0.000
93790,1212347,2179204108,51467883263,VERIFIED,0.000
93890,1213651,2640300431,62888154977,VERIFIED,0.000
94429,1221131,5683120888,139917719653,VERIFIED,0.000
94768,1225981,2184705450,51603549161,VERIFIED,0.000
97251,1260901,7850344255,195922614071,VERIFIED,0.000
97351,1262453,5389653243,132394050307,VERIFIED,0.000
98008,1271383,3197827293,76808347667,VERIFIED,0.000
98258,1275011,8564068296,214512996613,VERIFIED,0.000
99105,1286953,5589474041,137515154639,VERIFIED,0.000
100528,1307083,7675012978,191366007089,VERIFIED,0.000
100871,1311857,3893067251,94307911091,VERIFIED,0.000
102179,1330501,9444795782,237538125809,VERIFIED,0.000
102283,1331951,2029876287,47790310313,VERIFIED,0.000
104389,1361813,6264229453,154861625773,VERIFIED,0.000
105219,1373591,2594185703,61741943503,VERIFIED,0.000
107550,1406429,2837673259,67803334231,VERIFIED,0.000
108013,1412779,6369975757,157587051887,VERIFIED,0.000
108091,1413877,2900339079,69366839291,VERIFIED,0.000
109430,1433101,5807064035,143100102157,VERIFIED,0.000
109857,1438973,14929726016,382615207459,VERIFIED,0.000
110967,1454759,7273776154,180953871269,VERIFIED,0.000
112360,1474519,11071138165,280276166167,VERIFIED,0.000
113001,1483453,7659405632,190960585853,VERIFIED,0.000
114161,1500061,2744916180,65491493099,VERIFIED,0.000
115225,1514659,5362892889,131708767273,VERIFIED,0.000
117674,1550161,3543958704,85502899387,VERIFIED,0.000
118880,1567271,5493201674,135046872031,VERIFIED,0.000
119089,1570447,3995510688,96898143581,VERIFIED,0.000
53963,665179,50362759647,1354459021543,VERIFIED,0.000
82300,1052459,81961045941,2245774975837,VERIFIED,0.000
